,Country_Region,Province_State,Combined_Key,Lat,Long_,2020-06-17,2020-06-18,2020-06-19
0,Canada,Yukon,,64.2823,-135.0,11,11,11
1,Mexico,,,23.6345,-102.5528,159793,165455,170485
